Measure Names,Month of MONTH,ROUTE_NAME,Measure Values
Baseline Route Monthly Total Boardings (accessible copy),November 2023,8BX Bayshore B Express,"119,000"
Monthly Route Recovery,October 2023,8BX Bayshore B Express,0.564376977
Route Monthly Total Boardings (accessible copy),October 2023,8BX Bayshore B Express,"87,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,8BX Bayshore B Express,"153,000"
Monthly Route Recovery,September 2023,8BX Bayshore B Express,0.600477801
Route Monthly Total Boardings (accessible copy),September 2023,8BX Bayshore B Express,"83,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,8BX Bayshore B Express,"138,000"
Monthly Route Recovery,August 2023,8BX Bayshore B Express,0.634906451
Route Monthly Total Boardings (accessible copy),August 2023,8BX Bayshore B Express,"88,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,8BX Bayshore B Express,"138,000"
Monthly Route Recovery,July 2023,8BX Bayshore B Express,0.563914953
Route Monthly Total Boardings (accessible copy),July 2023,8BX Bayshore B Express,"72,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,8BX Bayshore B Express,"128,000"
Monthly Route Recovery,June 2023,8BX Bayshore B Express,0.636270835
Route Monthly Total Boardings (accessible copy),June 2023,8BX Bayshore B Express,"75,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,8BX Bayshore B Express,"117,000"
Monthly Route Recovery,May 2023,8BX Bayshore B Express,0.613582730
Route Monthly Total Boardings (accessible copy),May 2023,8BX Bayshore B Express,"85,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,8BX Bayshore B Express,"138,000"
Monthly Route Recovery,April 2023,8BX Bayshore B Express,0.543807900
Route Monthly Total Boardings (accessible copy),April 2023,8BX Bayshore B Express,"77,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,8BX Bayshore B Express,"141,000"
Monthly Route Recovery,March 2023,8BX Bayshore B Express,0.715158423
Route Monthly Total Boardings (accessible copy),March 2023,8BX Bayshore B Express,"83,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,8BX Bayshore B Express,"116,000"
Monthly Route Recovery,February 2023,8BX Bayshore B Express,0.600564160
Route Monthly Total Boardings (accessible copy),February 2023,8BX Bayshore B Express,"68,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,8BX Bayshore B Express,"114,000"
Monthly Route Recovery,February 2024,9 San Bruno,1.085307456
Route Monthly Total Boardings (accessible copy),February 2024,9 San Bruno,"285,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,9 San Bruno,"263,000"
Monthly Route Recovery,January 2024,9 San Bruno,1.025059096
Route Monthly Total Boardings (accessible copy),January 2024,9 San Bruno,"302,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,9 San Bruno,"294,000"
Monthly Route Recovery,December 2023,9 San Bruno,1.142790157
Route Monthly Total Boardings (accessible copy),December 2023,9 San Bruno,"313,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,9 San Bruno,"274,000"
Monthly Route Recovery,November 2023,9 San Bruno,1.144148426
Route Monthly Total Boardings (accessible copy),November 2023,9 San Bruno,"304,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,9 San Bruno,"266,000"
Monthly Route Recovery,October 2023,9 San Bruno,1.060292937
Route Monthly Total Boardings (accessible copy),October 2023,9 San Bruno,"305,000"
